Source, Target, Label
padova capolinea sud, padova guizza, Tram
padova guizza, padova cuoco, Tram
padova cuoco, padova sacchetti, Tram
padova sacchetti, padova bassanello, Tram
padova bassanello, padova cavallotti, Tram
padova cavallotti, padova santa croce, Tram
padova santa croce, padova diaz, Tram
padova diaz, padova cavalletto, Tram
padova cavalletto, padova prato della valle, Tram
padova prato della valle, padova santo, Tram
padova santo, padova tito livio, Tram
padova tito livio, padova ponti romani, Tram
padova ponti romani, padova eremitani, Tram
padova eremitani, padova trieste, Tram
padova trieste, padova stazione fs, Tram
padova stazione fs, padova borgomagno, Tram
padova borgomagno, padova arcella, Tram
padova arcella, padova palasport, Tram
padova palasport, padova san gregorio, Tram
padova san gregorio, padova pontevigodarzere, Tram
padova via orlandini, padova via rismondo, Linea 3
padova via rismondo, padova fiera, Linea 3
padova fiera, padova tribunale, Linea 3
padova tribunale, padova ferrovia, Linea 3
padova ferrovia, padova corso del popolo, Linea 3
padova corso del popolo, padova corso garibaldi, Linea 3
padova corso garibaldi, padova riv ponti romani, Linea 3
padova riv ponti romani, padova riv tito livio, Linea 3
padova riv tito livio, padova riv businello, Linea 3
padova riv businello, padova prato della valle, Linea 3
padova prato della valle, padova via cavazzana, Linea 3
padova via cavazzana, padova via acquapendente, Linea 3
padova via acquapendente, padova ponte 4 martiri, Linea 3
padova ponte 4 martiri, padova salboro, Linea 3
padova salboro, padova pozzoveggiani, Linea 3
padova pozzoveggiani, padova san giacomo, Linea 3
padova san giacomo, padova lion di albignasego, Linea 3
padova cadoneghe o bragni, padova castagnara, Linea 4
padova castagnara, padova str. pontevigodarzere, Linea 4
padova str. pontevigodarzere, padova capolinea nord, Linea 4
padova stazione fs, padova corso del popolo, Linea 5
padova corso del popolo, padova corso garibaldi, Linea 5
padova corso garibaldi, padova riv ponti romani, Linea 5
padova riv ponti romani, padova riv tito livio, Linea 5
padova riv tito livio, padova prato della valle, Linea 5
padova prato della valle, padova via cavalletto, Linea 5
padova via cavalletto, padova via torino, Linea 5
padova via torino, padova via siracusa, Linea 5
padova via siracusa, padova via goito, Linea 5
padova via goito, padova paltana, Linea 5
padova paltana, padova voltabrusegana, Linea 5
padova terranegra, padova forcellini, Linea 6
padova forcellini, padova ospedale civile, Linea 6
padova ospedale civile, padova piazzale boschetti, Linea 6
padova piazzale boschetti, padova ferrovia, Linea 6
padova ferrovia, padova eremitani, Linea 6
padova eremitani, padova piazza garibaldi, Linea 6
padova piazza garibaldi, padova corso milano, Linea 6
padova corso milano, padova piazzale savonarola, Linea 6
padova piazzale savonarola, padova via volturno/via sorio oppure chiesanuova/via cave, Linea 6
padova via volturno/via sorio oppure chiesanuova/via cave, padova strada dei colli, Linea 6
padova strada dei colli, padova brusegana, Linea 6
padova brusegana, padova via lagrange, Linea 6
padova ferrovia, padova via gozzi, Linea 7
padova via gozzi, padova via boschetti, Linea 7
padova via boschetti, padova via morgagni, Linea 7
padova via morgagni, padova via belzoni, Linea 7
padova via belzoni, padova via ognissanti, Linea 7
padova via ognissanti, padova via corrado, Linea 7
padova via corrado, padova via vigonovese, Linea 7
padova via vigonovese, padova via uruguay, Linea 7
padova via uruguay, padova corso stati uniti, Linea 7
padova corso stati uniti, padova strada dei vivai, Linea 7
padova strada dei vivai, padova saonara, Linea 7
padova via ippodromo, padova mortise, Linea 9
padova mortise, padova via maroncelli, Linea 9
padova via maroncelli, padova stanga, Linea 9
padova stanga, padova via belzoni, Linea 9
padova via belzoni, padova piazzale boschetti, Linea 9
padova piazzale boschetti, padova ferrovia, Linea 9
padova ferrovia, padova corso garibaldi, Linea 9
padova corso garibaldi, padova largo europa, Linea 9
padova largo europa, padova via giotto, Linea 9
padova via giotto, padova piazza mazzini, Linea 9
padova piazza mazzini, padova via beato pellegrino, Linea 9
padova via beato pellegrino, padova porta trento, Linea 9
padova porta trento, padova via bronzetti, Linea 9
padova via bronzetti, padova porta savonarola, Linea 9
padova porta savonarola, padova via palestro, Linea 9
padova via palestro, padova piazza caduti della resistenza, Linea 9
padova ponte di brenta, padova via san marco, Linea 10
padova via san marco, padova via venezia, Linea 10
padova via venezia, padova stanga, Linea 10
padova stanga, padova via tommaseo, Linea 10
padova via tommaseo, padova stazione fs, Linea 10
padova stazione fs, padova corso del popolo, Linea 10
padova corso del popolo, padova piazza garibaldi, Linea 10
padova piazza garibaldi, padova corso milano, Linea 10
padova corso milano, padova via chiesanuova, Linea 10
padova via chiesanuova, padova brentelle di sopra, Linea 10
padova brentelle di sopra, padova sarmeola o caselle di selvazzano, Linea 10
padova taggì, padova via montà, Linea 11 
padova via montà, padova porta trento, Linea 11 
padova porta trento, padova via b.pellegrino, Linea 11 
padova via b.pellegrino, padova via giotto, Linea 11 
padova via giotto, padova largo europa, Linea 11 
padova largo europa, padova riv ponti romani, Linea 11 
padova riv ponti romani, padova riv tito livio, Linea 11 
padova riv tito livio, padova riv businello, Linea 11 
padova riv businello, padova prato della valle, Linea 11 
padova prato della valle, padova via manzoni, Linea 11 
padova via manzoni, padova via crescini, Linea 11 
padova via crescini, padova san osvaldo, Linea 11 
padova san osvaldo, padova via comino, Linea 11 
padova via comino, padova via tre garofani, Linea 11 
padova via tre garofani, padova via de lazara, Linea 11 
padova ferrovia, padova corso del popolo, Linea 12 
padova corso del popolo, padova riv ponti romani, Linea 12 
padova riv ponti romani, padova riv tito livio, Linea 12 
padova riv tito livio, padova prato della valle, Linea 12 
padova prato della valle, padova via cavalletto, Linea 12 
padova via cavalletto, padova via sorio, Linea 12 
padova via sorio, padova aereoporto, Linea 12 
padova aereoporto, padova brusegana, Linea 12 
padova brusegana, padova tencarola o selvazzano, Linea 12 
limena (via cabrelle), padova altichiero, Linea 13
padova altichiero, padova via sacro cuore, Linea 13
padova via sacro cuore, padova via a. da bassano, Linea 13
padova via a. da bassano, padova cavalcavia stazione, Linea 13
padova cavalcavia stazione, padova piazza mazzini, Linea 13
padova piazza mazzini, padova via giotto, Linea 13
padova via giotto, padova largo europa, Linea 13
padova largo europa, padova riv ponti romani, Linea 13
padova riv ponti romani, padova riv tito livio, Linea 13
padova riv tito livio, padova riv businello, Linea 13
padova riv businello, padova prato della valle, Linea 13
padova prato della valle, padova via sanmicheli, Linea 13
padova via sanmicheli, padova via scardeone, Linea 13
padova via scardeone, padova via forcellini, Linea 13
padova via forcellini, padova terranegra, Linea 13
padova terranegra, padova via boccaccio, Linea 13
padova stazione fs, padova via gozzi, Linea 14
padova via gozzi, padova via morgagni, Linea 14
padova via morgagni, padova via falloppio, Linea 14
padova via falloppio, padova ospedale civ, Linea 14
padova ospedale civ, padova via gattamelata, Linea 14
padova via gattamelata, padova via facciolati, Linea 14
padova via facciolati, padova san da piovese, Linea 14
padova san da piovese, padova roncaglia, Linea 14
padova roncaglia, padova ponte san nicolò, Linea 14
padova largo debussy, padova via buonarroti, Linea 15
padova via buonarroti, padova cav. borgomagno, Linea 15
padova cav. borgomagno, padova piazza mazzini, Linea 15
padova piazza mazzini, padova via giotto, Linea 15
padova via giotto, padova largo europa, Linea 15
padova largo europa, padova corso garibaldi, Linea 15
padova corso garibaldi, padova via trieste, Linea 15
padova via trieste, padova via morgagni, Linea 15
padova via morgagni, padova ospedale civile, Linea 15
padova ospedale civile, padova via giustiniani, Linea 15
padova via giustiniani, padova via gattamelata, Linea 15
padova via gattamelata, padova via corrado, Linea 15
padova via corrado, padova via vigonovese, Linea 15
padova via vigonovese, padova camin, Linea 15
padova camin, padova valli o villatora o granze, Linea 15
padova ferrovia, padova corso del popolo, Linea 16
padova corso del popolo, padova corso garibaldi, Linea 16
padova corso garibaldi, padova riv ponti romani, Linea 16
padova riv ponti romani, padova riv tito livio, Linea 16
padova riv tito livio, padova riv businello, Linea 16
padova riv businello, padova prato della valle, Linea 16
padova prato della valle, padova via sanmicheli, Linea 16
padova via sanmicheli, padova via facciolati, Linea 16
padova via facciolati, padova voltabarozzo, Linea 16
padova voltabarozzo, padova strada piovese, Linea 16
padova strada piovese, padova rio di ponte san. nicolò, Linea 16
padova tavo, padova saletto, Linea 19
padova saletto, padova vogodarzere, Linea 19
padova vogodarzere, padova capolinea nord tram, Linea 19
padova autostazione padova, padova stazione fs, Linea 21
padova stazione fs, padova l.go europa, Linea 21
padova l.go europa, padova giardini eremitani, Linea 21
padova giardini eremitani, padova via giotto, Linea 21
padova via giotto, padova piazza mazzini, Linea 21
padova piazza mazzini, padova via b. pellegrino, Linea 21
padova via b. pellegrino, padova via bronzetti, Linea 21
padova via bronzetti, padova via montà, Linea 21
padova via montà, padova viale nereo rocco, Linea 21
padova viale nereo rocco, padova via due palazzi, Linea 21
padova via due palazzi, padova ponterotto, Linea 21
padova torre, padova via madonna della salute, Linea 22
padova via madonna della salute, padova via bajardi, Linea 22
padova via bajardi, padova via machiavelli, Linea 22
padova via machiavelli, padova via aspetti, Linea 22
padova via aspetti, padova cavalcavia stazione, Linea 22
padova cavalcavia stazione, padova viale codalunga, Linea 22
padova viale codalunga, padova via giotto, Linea 22
padova via giotto, padova riv dei ponti romani, Linea 22
padova riv dei ponti romani, padova riv tito livio, Linea 22
padova riv tito livio, padova riv businello, Linea 22
padova riv businello, padova prato della valle, Linea 22
padova prato della valle, padova corso vittorio emanuele, Linea 22
padova corso vittorio emanuele, padova bassanello, Linea 22
padova bassanello, padova strada armistizio, Linea 22
padova strada armistizio, padova mandria o giarre, Linea 22
padova mandriola di albignasego, padova sant’agostino, Linea 24
padova sant’agostino, padova san da battaglia, Linea 24
padova san da battaglia, padova bassanello, Linea 24
padova bassanello, padova prato della valle, Linea 24
padova prato della valle, padova via gattamelata, Linea 24
padova via gattamelata, padova ospedale civ, Linea 24
padova ospedale civ, padova piazzale boschetti, Linea 24
padova piazzale boschetti, padova stazione fs, Linea 24
padova stazione fs, padova cavalcavia borgomagno, Linea 24
padova cavalcavia borgomagno, padova via t.aspetti, Linea 24
padova via t.aspetti, padova via cardinal callegari, Linea 24
padova via cardinal callegari, padova via plebiscito, Linea 24
padova stazione fs, padova via tommaseo, Linea 25
padova via tommaseo, padova via venezia, Linea 25
padova via venezia, padova via croce rossa, Linea 25
padova via croce rossa, padova via dell'industria, Linea 25
padova via dell'industria, padova via prima strada, Linea 25
padova via ippodromo, padova via m. dela salute, Linea 42
padova via m. dela salute, padova san lazzaro, Linea 42
padova san lazzaro, padova via grassi, Linea 42
padova via grassi, padova piazzale lestanga, Linea 42
padova piazzale lestanga, padova via belzoni, Linea 42
padova via belzoni, padova piazzale boschetti, Linea 42
padova piazzale boschetti, padova stazione fs, Linea 42
padova stazione fs, padova corso del pololo, Linea 42
padova corso del pololo, padova piazza garibaldi, Linea 42
padova piazza garibaldi, padova corso milano, Linea 42
padova corso milano, padova piazzale savonarola, Linea 42
padova piazzale savonarola, padova via volturno, Linea 42
padova via volturno, padova piazzale san giovanni, Linea 42
padova piazzale san giovanni, padova via cernaiaia, Linea 42
padova via cernaiaia, padova sacra famiglia, Linea 42
padova sacra famiglia, padova via palermo, Linea 42
padova via palermo, padova via goito, Linea 42
padova via goito, padova paltana, Linea 42
padova paltana, padova via rovigo, Linea 42
padova via rovigo, padova voltabrusegana, Linea 42
padova stazione fs, padova piazzale boschetti, Linea 43
padova piazzale boschetti, padova ospedale civ, Linea 43
padova ospedale civ, padova via gattamelata, Linea 43
padova via gattamelata, padova via cazzavana, Linea 43
padova via cazzavana, padova prato della valle, Linea 43
padova prato della valle, padova corso via emanuele ii, Linea 43
padova corso via emanuele ii, padova via cavallotti, Linea 43
padova via cavallotti, padova bassanello, Linea 43
padova bassanello, padova san da battaglia, Linea 43
padova san da battaglia, padova san agostino di alb, Linea 43
padova san agostino di alb, padova mandriola, Linea 43
padova capolinea sud, padova chiesetta dei ferri, Linea 88
padova chiesetta dei ferri, padova san tommaso, Linea 88
padova san tommaso, padova albignasego, Linea 88
padova albignasego, padova carpanedo, Linea 88
padova piazzale pontecorvo, padova via facciolati, Linea LIS
padova via facciolati, padova ponte voltabarozzo, Linea LIS
padova ponte voltabarozzo, padova tangenziale, Linea LIS
padova tangenziale, padova via venier, Linea LIS
padova via venier, padova via bembo via pontedera, Linea LIS
padova via bembo via pontedera, padova via guasti, Linea LIS
padova via guasti, padova via anconitano, Linea LIS
padova via anconitano, padova via dell'orna, Linea LIS
padova via dell'orna, padova via algarotti, Linea LIS
padova via algarotti, padova capolinea sud tram, Linea LIS
padova autostazione, padova piazzale boschetti, LineeE005V-E005Z
padova piazzale boschetti, padova ospedale, LineeE005V-E005Z
padova ospedale, padova pontecorvo via facciolati, LineeE005V-E005Z
padova pontecorvo via facciolati, padova voltabarozzo, LineeE005V-E005Z
padova voltabarozzo, roncaglia, LineeE005V-E005Z
roncaglia, ponte san nicolo', LineeE005V-E005Z
ponte san nicolo', legnaro, LineeE005V-E005Z
legnaro, vigorovea, LineeE005V-E005Z
vigorovea, bv. brugine, LineeE005V-E005Z
bv. brugine, piove di sacco via marconi, LineeE005V-E005Z
piove di sacco via marconi, bv. tognana, LineeE005V-E005Z
bv. tognana, bv. cambroso, LineeE005V-E005Z
bv. cambroso, codevigo ponte, LineeE005V-E005Z
codevigo ponte, bv. san margherita d'a, LineeE005V-E005Z
bv. san margherita d'a, conche di codevigo, LineeE005V-E005Z
conche di codevigo, valli chioggia, LineeE005V-E005Z
valli chioggia, chioggia fs, LineeE005V-E005Z
chioggia fs, chioggia c. marconi, LineeE005V-E005Z
chioggia c. marconi, sottomarina ospedale, LineeE005V-E005Z
sottomarina ospedale, sottomarina via zeno, LineeE005V-E005Z
sottomarina via zeno, sottomarina hotel sole, LineeE005V-E005Z
sottomarina hotel sole, sottomarina bagni canarin, LineeE005V-E005Z
sottomarina bagni canarin, sottomarina autostazione, LineeE005V-E005Z
padova autostazione, padova stazione fs, LineaE045
padova stazione fs, monta', LineaE045
monta', ponterotto fornace, LineaE045
ponterotto fornace, taggi' di sotto, LineaE045
taggi' di sotto, taggi' di sopra, LineaE045
taggi' di sopra, villafranca padovana, LineaE045
villafranca padovana, campodoro, LineaE045
campodoro, bevadoro, LineaE045
bevadoro, torre rossa, LineaE045
torre rossa, camisano, LineaE045
camisano, bv smaria camisano, LineaE045
bv smaria camisano, grumolo delle abbadesse, LineaE045
grumolo delle abbadesse, lerino, LineaE045
lerino, torri di quartesolo centro, LineaE045
torri di quartesolo centro, vicenza stanga, LineaE045
vicenza stanga, monteberico, LineaE045
padova autostazione, padova fiera, LineeE066-E066Z
padova fiera, padova stanga via venezia, LineeE066-E066Z
padova stanga via venezia, padova zi peroni, LineeE066-E066Z
padova zi peroni, padova zi cnr cso stati uniti, LineeE066-E066Z
padova zi cnr cso stati uniti, padova zi via uruguay, LineeE066-E066Z
padova zi via uruguay, legnaro, LineeE066-E066Z
legnaro, vigorovea, LineeE066-E066Z
vigorovea, bv brugine, LineeE066-E066Z
bv brugine, piove di sacco autostazione, LineeE066-E066Z
piove di sacco autostazione, arzerello chiesa, LineeE066-E066Z
arzerello chiesa, pontelongo, LineeE066-E066Z
pontelongo, villa del bosco, LineeE066-E066Z
villa del bosco, correzzola, LineeE066-E066Z
correzzola, concadalbero, LineeE066-E066Z
concadalbero, monsole civ 25/27, LineeE066-E066Z
monsole civ 25/27, pegolotte bar, LineeE066-E066Z
